fileName,mouse,sex,volume(nl),days,weeks,weight(g),Intensity,Region
RVM_GFP_50nl_SCcs_m4_x4_Z,4,M,50,37,5.285714286,32,137.3865,DLF
RVM_GFP_100nl_SCcs_m2_x4_Z,2,M,100,43,6.142857143,32,67.718,DLF
RVM_GFP_50nl_SCcs_m1_x4_Z,1,M,50,43,6.142857143,33,171.341,DLF
RVM_GFP_100nl_SCcs_m5_x4_Z,5,M,100,37,5.285714286,31,120.881,DLF
RVM_GFP_50nl_SCcs_m6_x4_Z,6,F,50,43,6.142857143,28,181.4525,DLF
RVM_GFP_100nl_SCcs_m7_x4_Z,7,F,100,43,6.142857143,32,191.1825,DLF
RVM_GFP_150nl_SCcs_m8_x4_Z,8,F,150,36,5.142857143,33,142.6505,DLF
RVM_GFP_50nl_SCcs_m9_x4_Z,9,F,50,36,5.142857143,25,107.4995,DLF
RVM_GFP_150nl_SCcs_m12_x4_Z,12,M,150,37,5.285714286,29,235.9545,DLF
RVM_GFP_100nl_SCcs_m14_x4_Z,14,F,100,51,7.285714286,26,829.2775,DLF
RVM_GFP_50nl_SCcs_m15_x4_Z,15,F,50,51,7.285714286,29,278.533,DLF
RVM_GFP_50nl_SCcs_m16_x4_Z,16,M,50,48,6.857142857,24,51.3985,DLF
RVM_GFP_150nl_SCcs_m18_x4_Z,18,M,150,48,6.857142857,36,211.007,DLF
RVM_GFP_100nl_SCcs_m19_x4_Z,19,F,100,51,7.285714286,31,206.272,DLF
RVM_GFP_150nl_SCcs_m20_x4_Z,20,M,150,51,7.285714286,31,408.0025,DLF
RVM_GFP_150nl_SCcs_m21_x4_Z,21,F,150,51,7.285714286,31,595.4305,DLF
RVM_GFP_50nl_SCcs_m4_x4_Z,4,M,50,37,5.285714286,32,58.163,LI
RVM_GFP_100nl_SCcs_m2_x4_Z,2,M,100,43,6.142857143,32,105.021,LI
RVM_GFP_50nl_SCcs_m1_x4_Z,1,M,50,43,6.142857143,33,239.9845,LI
RVM_GFP_100nl_SCcs_m5_x4_Z,5,M,100,37,5.285714286,31,123.357,LI
RVM_GFP_50nl_SCcs_m6_x4_Z,6,F,50,43,6.142857143,28,134.777,LI
RVM_GFP_100nl_SCcs_m7_x4_Z,7,F,100,43,6.142857143,32,145.463,LI
RVM_GFP_150nl_SCcs_m8_x4_Z,8,F,150,36,5.142857143,33,143.3475,LI
RVM_GFP_50nl_SCcs_m9_x4_Z,9,F,50,36,5.142857143,25,113.1685,LI
RVM_GFP_150nl_SCcs_m12_x4_Z,12,M,150,37,5.285714286,29,167.5385,LI
RVM_GFP_100nl_SCcs_m14_x4_Z,14,F,100,51,7.285714286,26,185.2175,LI
RVM_GFP_50nl_SCcs_m15_x4_Z,15,F,50,51,7.285714286,29,165.1675,LI
RVM_GFP_50nl_SCcs_m16_x4_Z,16,M,50,48,6.857142857,24,84.2665,LI
RVM_GFP_150nl_SCcs_m18_x4_Z,18,M,150,48,6.857142857,36,160.268,LI
RVM_GFP_100nl_SCcs_m19_x4_Z,19,F,100,51,7.285714286,31,115.9635,LI
RVM_GFP_150nl_SCcs_m20_x4_Z,20,M,150,51,7.285714286,31,92.121,LI
RVM_GFP_150nl_SCcs_m21_x4_Z,21,F,150,51,7.285714286,31,190.077,LI
RVM_GFP_50nl_SCcs_m4_x4_Z,4,M,50,37,5.285714286,32,178.563,LX
RVM_GFP_100nl_SCcs_m2_x4_Z,2,M,100,43,6.142857143,32,67.292,LX
RVM_GFP_50nl_SCcs_m1_x4_Z,1,M,50,43,6.142857143,33,161.956,LX
RVM_GFP_100nl_SCcs_m5_x4_Z,5,M,100,37,5.285714286,31,311.48,LX
RVM_GFP_50nl_SCcs_m6_x4_Z,6,F,50,43,6.142857143,28,244.496,LX
RVM_GFP_100nl_SCcs_m7_x4_Z,7,F,100,43,6.142857143,32,242.536,LX
RVM_GFP_150nl_SCcs_m8_x4_Z,8,F,150,36,5.142857143,33,150.558,LX
RVM_GFP_50nl_SCcs_m9_x4_Z,9,F,50,36,5.142857143,25,168.993,LX
RVM_GFP_150nl_SCcs_m12_x4_Z,12,M,150,37,5.285714286,29,157.487,LX
RVM_GFP_100nl_SCcs_m14_x4_Z,14,F,100,51,7.285714286,26,699.888,LX
RVM_GFP_50nl_SCcs_m15_x4_Z,15,F,50,51,7.285714286,29,280.606,LX
RVM_GFP_50nl_SCcs_m16_x4_Z,16,M,50,48,6.857142857,24,57.322,LX
RVM_GFP_150nl_SCcs_m18_x4_Z,18,M,150,48,6.857142857,36,373.901,LX
RVM_GFP_100nl_SCcs_m19_x4_Z,19,F,100,51,7.285714286,31,290.482,LX
RVM_GFP_150nl_SCcs_m20_x4_Z,20,M,150,51,7.285714286,31,200.947,LX
RVM_GFP_150nl_SCcs_m21_x4_Z,21,F,150,51,7.285714286,31,587.756,LX
